Vehicles,PER,AverageLatency,P95Latency,AverageJitter,Goodput
6,0,41.0232,112.955,7.0109,0.183765
6,0.005,39.8459,61.2442,7.30104,0.177644
6,0.01,64.5301,125.622,7.70914,0.51667
6,0.02,55.681,164.125,8.55077,0.39145
6,0.05,79.4207,165.618,8.73285,0.482641
6,0.1,40.0851,78.2771,9.67405,0.149254
